"text","text_en","cmp_code","eu_code"
"Increase defence spending to 2 per cent of GDP to honour our NATO obligations",NA,"104",NA
"Invest £1.5 billion into mental health and dementia services",NA,"504",NA
"Pay carers an extra £572 a year",NA,"504",NA
"Build 500 affordable rent homes every year",NA,"409",NA
"and eight halfway house hostels for homeless veterans",NA,"409",NA
"Remove stamp duty on the first £250,000 for new homes built on brownfield sites.",NA,"409",NA
"Our fiscal plans identifying how we will fund these policies have been rigorously and independently assessed by the Centre for Economic and Business Research (Cebr).",NA,"404",NA
"The Cebr has been extremely diligent and has challenged us frequently, so voters can be assured our manifesto commitments are sound and affordable.",NA,"404",NA
"Ours is an amazing country, but it could be better still.",NA,"601",NA
"As Mark Reckless said when he joined UKIP last year: “we are more than just a star on someone else’s flag.”",NA,"601",NA
"Britain is great: if you believe this too, then believe in us and vote UKIP.",NA,NA,NA
"“Our willingness to take the axe to politically correct spending programmes makes us the one party that can stick to the Treasury’s deficit elimination plan, while cutting taxes and increasing spending on vital services such as the NHS and defence of our nation.”",NA,NA,NA
"Believe    in Britain UKIP believes the key to creating a successful, dynamic economy and a fair society lies in harnessing the ingenuity, resourcefulness and appetite for hard work  of the British people.",NA,NA,NA
"Under previous governments, excessive rates of taxation have killed incentives for people to create wealth and make the most of their talents.",NA,NA,NA
"Our approach to the economy revolves around restoring incentives for workers by cutting taxes",NA,"701",NA
"and ending the current ‘open door’ arrangement for European labour that has driven down wages in recent years.",NA,"110",NA
"By the end of the next parliament, UKIP will: Raise the personal allowance to at least £13,000 so people can earn enough money to cover their basic living costs before the state starts to take income tax out of their pay packets.",NA,"503",NA
"This will take those on minimum wage out of tax altogether",NA,"503",NA
"Abolish inheritance tax.",NA,"404",NA
"Assets bought out of taxed income should not be taxed again when their owners die.",NA,"404",NA
"We will strike out the hated ‘death tax.’",NA,"503",NA
"It hits the middle classes hardest, those who have worked to provide for their dependents, because the wealthiest almost always manage to avoid paying it",NA,"503",NA
"Raise the threshold for paying 40 per cent income tax to £55,000",NA,"404",NA
"and introduce a new intermediate tax rate of 30 per cent on incomes ranging between £43,500 and £55,000.",NA,"404",NA
"A tax originally designed for high earners should not be levied on middle-income earners such as school teachers and senior nurses",NA,"404",NA
"Increase the transferable tax allowance for married couples and civil partners to £1,500.",NA,"404",NA
"The longer term aspiration of a UKIP government will be to create an income tax structure of a basic rate of 20 per cent, an intermediate rate of 30 per cent, and a top rate of 40 per cent, meaning income taxes will be flatter and lower.",NA,"404",NA
"Bringing down taxes on working people at the bottom and in the middle ranges of the income scale is our priority.",NA,"503",NA
"In the longer term, we will aim to restore the personal allowance to those earning over £100,000 and make 40 per cent the top rate of tax for all, as it used to be.",NA,"503",NA
"VAT",NA,NA,NA
"Outside the EU, we will have control over VAT.",NA,"110",NA
"Significantly, we will be able to deal with distortion imposed by EU legislation and zero-rate certain goods and services that have previously had VAT charged on them.",NA,"110",NA
"This means we can – and will - remove VAT completely from repairs to listed buildings and sanitary products, for example.",NA,"110",NA
"CORPORATION TAX DODGING",NA,NA,NA
"It is grossly unfair that a few multi-national corporations have been able to access all the benefits of our thriving British consumer market without making a proper contribution to the costs of British society.",NA,"403",NA
"The public has every right to be angry about this.",NA,"403",NA
"UKIP will not allow large companies to continue getting away with paying zero or negligible corporation tax in Britain. We will bring this unfairness to an end.",NA,NA,NA
"By restoring British tax sovereignty, which we lost when we signed up to the EU,",NA,"110",NA
"we will end the practice of businesses paying tax in whichever EU or associated country they choose.",NA,"403",NA
"Our membership of the EU enables companies to avoid paying some UK taxes with impunity and we will close this loophole.",NA,"110",NA
"We will also set up a Treasury Commission to monitor the effectiveness of the new Diverted Profits Tax and bring in any further measures necessary to prevent large multinational corporations using aggressive tax avoidance schemes.",NA,"403",NA
"REDUCING THE DEFICIT, PAYING OFF OUR DEBTS",NA,NA,NA
"Years of mismanagement by Labour and Conservative governments have left our public finances in a mess.",NA,"414",NA
"The public sector deficit in 2014/15 is expected to be around £90 billion and our national debt close to £1.5 trillion, £500 billion more than it was when David Cameron took over in 2010.",NA,"414",NA
"This is a terrible legacy to leave our children and grandchildren.",NA,"414",NA
"Interest payments on our national debt alone cost £46 billion every year: more than £700 for every man, woman and child in the country.",NA,"414",NA
"It is more than we are spending on defence.",NA,"104",NA
"The Chancellor has failed to stick to his 2010 promise to wipe out the deficit by the end of the current parliament, despite damaging cuts to public services.",NA,"414",NA
"In the March 2015 Budget, a new deficit reduction schedule was unveiled, envisaging the elimination of the deficit by the third year of the next parliament, with a surplus being recorded after that.",NA,"414",NA
"While this current Treasury plan is a reasonable target, there is little public faith it will be achieved, coming as is does in the wake of previous failure.",NA,"414",NA
"UKIP MPs in the next parliament will make sure the Treasury sticks to this latest plan, with no backsliding.",NA,"414",NA
"We will hold the next Chancellor’s feet to the fire when it comes to improving public finances.",NA,"414",NA
"UKIP will make a difference by being a powerful, much-needed voice in favour of sound financial management.",NA,"414",NA
"FINANCING UKIP SPENDING PLANS",NA,NA,NA
"UKIP will finance a fairer tax system and fund our public spending proposals by sharp reductions in spending on specified public sector programmes.",NA,"414",NA
"By the end of the next parliament we will: Save £9 billion a year in direct net contributions to the European Union budget by leaving the EU",NA,"110",NA
"Reduce the overseas aid budget from 0.7 per cent to  0.2 per cent of GNI, matching the percentage contribution made by the USA.",NA,"109",NA
"This change will be phased in so projects in progress can be completed and contractual obligations met.",NA,"109",NA
"Annual savings will increase to £11 billion by 2019/20 and money for bilateral aid projects will not be languishing in EU bank accounts",NA,"110",NA
"Save £4 billion a year in capital expenditure by scrapping the HS2 vanity project, which will benefit the few at the expense of many",NA,"414",NA
"Reduce spending by £5.5 billion by replacing the Barnett Formula",NA,"414",NA
"REPLACING THE BARNETT FORMULA",NA,NA,NA
"The Barnett Formula is the method by which HM Treasury allocates funds to Scotland, Wales and Northern Ireland.",NA,"303",NA
"Despite being in existence for thirty-seven years, since when we have seen devolution and significant changes in the respective countries’ fortunes, this formula has never been reviewed or updated.",NA,"303",NA
"Now discredited, it was disowned by Lord Barnett himself.",NA,"303",NA
"UKIP believes the Barnett Formula has passed its sell-by date.",NA,"303",NA
"Spending has become increasingly unfair, with Scotland receiving  a considerably higher per capita spend, despite moving towards  further tax-raising and spending powers of its own.",NA,"503",NA
"Scotland receives almost £1,400 more per person in public spending than the UK average and nearly £450 more than Wales.",NA,"503",NA
"This is why Scotland is able to spend in a manner not possible elsewhere in the UK.",NA,"503",NA
"We agree with the House of Lords Select Committee on the Barnett Formula which in 2009 concluded that: The Barnett Formula results in ‘per capita allocations that are arbitrary and unfair’",NA,"503",NA
"Scotland has ‘markedly lower overall need than Wales’",NA,"503",NA
"‘The Barnett Formula should no longer be used to determine annual increases in the block grant for the devolved administration’",NA,"503",NA
"‘A new system which allocates resources to the devolved administrations based on an explicit assessment of their relative needs should be introduced’",NA,"503",NA
"‘A formula based on relative need is a practical possibility.’",NA,"503",NA
"These conclusions echoed a House of Commons Justice Committee report in the same year, which stated: ‘The Barnett Formula is overdue for reform and lacks any basis in equity or logic.’",NA,"303",NA
"The government of the day was urged to devise a new, needs-based formula.",NA,"305",NA
"Both reports have been ignored.",NA,"305",NA
"UKIP will implement these recommendations within the time frame anticipated by the House of Lords Select Committee: ‘a transitional period of between three and five years, preferably no more than seven.’",NA,"303",NA
"The introduction of a new system will result in substantial reductions in funding for Scotland,",NA,"503",NA
"but, as the Scottish government is to have significant further powers over taxation, borrowing and spending in due course, it can make its own decision as to whether to raise taxes or cut public spending to balance the books.",NA,"301",NA
"Either way, the devolved administration in Scotland will be well placed to balance its fiscal, economic and spending priorities.",NA,"301",NA
"CUTTING THE COST OF WESTMINSTER",NA,NA,NA
"The cost to the taxpayer of the Houses of Parliament, Ministerial Departments, the Home Civil Service and Whitehall-funded quangos is huge, running into hundreds of millions of pounds every year.",NA,"303",NA
"UKIP believes we can make considerable savings",NA,"303",NA
"at the same time as improving democratic accountability.",NA,"202",NA
"These savings include: Reducing the size of the House of Commons and ensuring parliamentary constituencies across the country are of equal size",NA,"303",NA
"Abolishing government departments when their essential powers and functions can be merged into other departments.",NA,"303",NA
"Such departments will include the Department for Energy and Climate Change,",NA,"303",NA
"the Department for International Development,",NA,"303",NA
"and the Department for Culture, Media and Sport",NA,"303",NA
"Reducing the number of secretaries of state, ministers and parliamentary undersecretaries-of-state and, accordingly, the size of government",NA,"303",NA
"Cutting departmental running costs where they do not deliver value for money",NA,"303",NA
"Reducing the £7.2 million cost of paid advisers and bring more transparency to their appointment",NA,"303",NA
"Abolishing unnecessary quangos such as the Cabinet Office’s ‘Big Society’ programme (£49 million),",NA,"303",NA
"the National Citizen Service (£62 million),",NA,"303",NA
"DfID’s International Citizen Service Volunteers (£110 million)",NA,"303",NA
"and Defra’s Waste Resource Action Programme (£15.5 million)",NA,"303",NA
"Clamping down on so-called ‘fake charities,’",NA,"303",NA
"or state-funded political activism",NA,"303",NA
"Ending tax-payer funded overseas junketing and non-essential ‘fact-finding’ missions",NA,"303",NA
"Ceasing all subsidies for bars and dining rooms in the Palace of Westminster",NA,"303",NA
"Preventing MPs claiming expenses that are not incurred wholly, exclusively and necessarily in the performance of their duties, like every other member of society.",NA,"303",NA
"We anticipate investing savings made from cutting the cost of Westminster into a dedicated fund to contribute to the repair and maintenance of the beautiful and historic Palace of Westminster.",NA,"303",NA
"The fabric of this building has been neglected and the estimated cost of essential repairs is currently £3 billion.",NA,"303",NA
"Government has focused on the wrong spending priorities for far too long.",NA,"305",NA
"It is time to stop wasting money on trying to be popular on the world stage, and  start tackling urgent, pressing  needs here in the UK.",NA,"601",NA
"By changing our spending priorities British taxpayers can get much better value for money.",NA,"414",NA
"UKIP will take Britain out of the red and back  into the black.",NA,"414",NA
"IMMIGRATION",NA,NA,NA
"“Britain is a compassionate, caring nation. In the course of our island’s history we have welcomed millions of people to these shores and we are proud of that record. UKIP does not have a problem with migration. What we do have a problem with is the uncontrolled, politically-driven immigration that has been promoted and sustained by Labour and the Conservatives.”",NA,NA,NA
"The increasing ebb and flow of people across our planet is one of the greatest issues of our time.",NA,"601",NA
"In 1950s Britain, some 25,000 immigrants arrived here annually and net migration was negligible.",NA,"601",NA
"Now, immigration into the UK is at an all time high:",NA,"601",NA
"in the year to September 2014, 624,000 migrants moved to our island and annual net migration, which takes into account those leaving the country, now stands at 298,000, again, a new record",NA,"601",NA
"Nearly seven million immigrants came to the UK when the Blair and Brown Labour governments deliberately and recklessly threw open our borders between 1997 and 2010.",NA,"601",NA
"Over two million more have arrived since David Cameron came to power and spectacularly broke his promise to reduce net migration to the “tens of thousands…No ifs. No buts.”",NA,"601",NA
"This unprecedented influx has had significant consequences on our economy, our public services, our culture and our environment.",NA,"601",NA
"Evidence from the EU and the UK Parliament’s Treasury Select Committee reveals how immigration has driven down wages and led to job losses for British workers.",NA,"601",NA
"The sheer weight of numbers, combined with rising birth rates (particularly to immigrant mothers) and an ageing population, is pushing public services to breaking point.",NA,"601",NA
"To meet demand, we must build one home every seven minutes;",NA,"601",NA
"we wait longer to see our GP or be treated in hospitals;",NA,"601",NA
"our children are learning in schools with over-sized classes,  or having lessons disrupted by building work as schools are forced to keep expanding.",NA,"601",NA
"The British public has every right to be concerned.",NA,"601",NA
"Surveys consistently show immigration as one of the top three issues for voters.",NA,"601",NA
"Yet, instead of listening, the old parties have responded with insults and contempt: even our prime ministers have labelled good, decent people ‘closet racists’ and ‘bigots.’",NA,"305",NA
"Immigration is not about race; it is about space.",NA,"601",NA
"Immigrants are not the problem; it is the current immigration system that is broken.",NA,"110",NA
"Our current immigration rules ignore the wishes of the British people.",NA,"601",NA
"They discriminate in favour of EU citizens and against the rest of the world.",NA,"110",NA
"The system is failing so badly that we cannot even properly identify how many people enter and leave our country.",NA,"110",NA
"TO REFORM OUR IMMIGRATION SYSTEM UKIP WILL:",NA,NA,NA
"Take back control of our borders",NA,"110",NA
"Put  a  five-year  moratorium  on  immigration  for  unskilled  workers,  which will enable the unemployed already living here to find work and those already working to see wage growth",NA,"406",NA
"Introduce  an  Australian-style  points  based  system  to  manage  the  number and skills of people coming into the country,",NA,"406",NA
"treating all citizens of the world on a fair and equal basis as a welcoming, outward-looking country",NA,"503",NA
"Tackle the problem of sham marriages.",NA,"605",NA
"These policies are essential if we are to give our country the breathing space it desperately needs from mass uncontrolled immigration,",NA,"406",NA
"create harmonious, integrated communities,",NA,"608",NA
"and catch up on building the essential infrastructure needed to sustain our growing nation.",NA,"411",NA
"CONTROLLING OUR BORDERS",NA,NA,NA
"We can never control immigration while we continue to be members of the European Union.",NA,"110",NA
"Until we leave, we are forced to abide by the EU’s founding, unshakable principle of the ‘free movement of people,’ meaning we cannot prevent the flow of citizens from all EU member states into Britain.",NA,"110",NA
"Other political parties will promise to control immigration, but while they continue to support the UK’s membership of the EU, they are not being honest with the electorate.",NA,"110",NA
"Wholly unable to control EU migration, they can only reduce numbers by slamming the door in the face of people from around the rest of the world.",NA,"110",NA
"The old parties already support blatant discrimination against Commonwealth countries, with whom Britain has traditionally had long and friendly relationships.",NA,"101",NA
"This inequality will at best continue and at worst increase, under their prejudicial immigration policies.",NA,"110",NA
"UKIP will: Increase the numbers of Border Agency staff by 2,500",NA,"605",NA
"Implement  new  border  control  technology  solutions  to ensure all passport and visa holders are counted in and out and to identify over-stayers, including those on student visas.",NA,"605",NA
"MANAGING IMMIGRATION",NA,NA,NA
"We will establish a Migration Control Commission to oversee operation of our Australian-style points based system.",NA,"406",NA
"This commission will operate under a strict mandate to significantly reduce the numbers of people migrating to the UK.",NA,"406",NA
"It will determine Britain’s economic and social needs annually and then recommend how many immigrants, with what skills required, we will accept into Britain.",NA,"406",NA
"Because the other parties have failed to control immigration, UKIP will limit highly-skilled work visas to 50,000 per annum,",NA,"406",NA
"including those from the EU,",NA,"110",NA
"and apply a moratorium to unskilled and low-skilled labour over the course of the next parliament.",NA,"406",NA
"UKIP has no intention of ‘pulling up the drawbridge’ to Britain, as has been suggested.",NA,"406",NA
"We simply want to control who walks over it, like nearly 200 other countries worldwide.",NA,"406",NA
"OUR VISA SYSTEM",NA,NA,NA
"A new visa system will be operated on a strict principle of non-discrimination between peoples of all nations applying to work, study and visit the United Kingdom.",NA,"503",NA
"We will offer five principal visa categories: Work  Visas  will be issued to skilled and key workers under our Australian-style points  based system.",NA,"406",NA
"Workers under this scheme will be required to have medical insurance to cover both themselves and any dependent s for five years’ duration.",NA,"406",NA
"During this time they will not be able to claim any benefits or non-urgent NHS treatment, unless they can be treated under any reciprocal international agreements or have been granted a specific exception by the Migration Control Commission.",NA,"406",NA
"Those arriving on work visas will not be granted permanent leave to remain, however they can apply for British citizenship after five years if they have worked and paid tax here.",NA,"406",NA
"Visitor visas and entry passes-We value and want to encourage tourism, however there are inequalities in the current system, which treats some nationalities more favourably than others.",NA,"406",NA
"The Migration Control Commission will be charged with finding a system which enables countries with which the UK already has close ties, such as member states of the European Union and the Commonwealth, to establish reciprocal arrangements for visitor visas and term-dated entry passes.",NA,"406",NA
"Student visas- The international student community makes an important contribution to the UK.",NA,"406",NA
"Because students are in Britain only on a temporary basis, we will categorise them separately in immigration figures.",NA,"406",NA
"All non-UK undergraduate and post-graduate students will be required to maintain private health insurance for the period of their study.",NA,"505",NA
"We will also: Review which educational institutions are eligible to enroll international students and prevent abuse of the student visa system.",NA,"406",NA
"Students not attending courses will have their visas withdrawn and colleges not reporting absentees will be barred from accepting international students.",NA,"406",NA
"Family reunion visas - It is important that British citizens and those with permanent leave to remain here can form legal family relationships with non-British citizens and we will review the family union system to ensure this basic principle is respected and applies equally to all.",NA,"503",NA
"However, our key aim is to control immigration, so we will abolish the EEA family permit scheme and reinstate the primary purpose rule, meaning foreign nationals marrying British citizens will have to prove that the primary purpose of their marriage is not to obtain British residency.",NA,"406",NA
"Asylum visas -We will comply fully with the 1951 UN Convention Relating to the Status of Refugees;",NA,"107",NA
"speed up the asylum process;",NA,"303",NA
"and seek to do so while tackling logjams in the system for those declined asylum status.",NA,"303",NA
"We will continue to honour our obligations to bona fide asylum seekers.",NA,"107",NA
"ACCESS TO WELFARE AND THE NHS",NA,NA,NA
"We have an over-stretched NHS and a high benefits bill, partly because of the pressure from immigration.",NA,"601",NA
"To combat this, all new migrants to Britain will have to make tax and national insurance contributions for five consecutive years before they will become eligible to claim UK benefits, or access to more than non-urgent NHS services, save for any exceptions stipulated by the Migration Control Commission.",NA,"601",NA
"BRITISH CITIZENSHIP",NA,NA,NA
"Save for current applications, approved asylum cases and family reunions, we will cease grant of ‘Permanent Leave to Remain’ status.",NA,"601",NA
"Those on work visas may apply for British citizenship once they have been here for five years.",NA,"601",NA
"We will revoke the British citizenship of those who have obtained it by fraud or deception and remove those who have obtained entry into Britain by this means.",NA,"601",NA
"We take the view that British citizens who choose to fight alongside terrorist organisations effectively abdicate their rights to citizenship.",NA,"601",NA
"We will amend the Foreign Enlistment Act 1870 to make enlistment in violent armed groups or transnational terror organisations a crime",NA,"605",NA
"and we will seek a means to revoke their citizenship and prevent their repatriation.",NA,"601",NA
"ILLEGAL IMMIGRATION",NA,NA,NA
"There will be no amnesty for illegal immigrants.",NA,"605",NA
"We will increase the number of immigration compliance and enforcement teams",NA,"605",NA
"and review current holding and accommodation arrangements for illegal immigrants.",NA,"605",NA
"FOREIGN CRIMINALS",NA,NA,NA
"Foreign criminals will not be granted a visa to enter the UK",NA,"605",NA
"Resident migrants who commit crimes resulting in custodial sentence will have their visa revoked and they will be subject to a deportation order.",NA,"605",NA
"They will be detained until they are removed from the UK.",NA,"605",NA
"ENDING THE EU FREEDOM OF MOVEMENT OF PEOPLE",NA,NA,NA
"Our new immigration policies will begin when we confirm our intention to leave the EU with an ‘out’ vote in a national referendum.",NA,"110",NA
"Any European Union citizen who is resident in the UK at the time of the referendum will be permitted to remain and work here.",NA,"108",NA
"They will be able to enjoy the benefits of the UK as before and have the opportunity to apply for UK citizenship after five years.",NA,"601",NA
"The British people accept immigrants and are among the most welcoming and tolerant people in the world.",NA,"601",NA
"UKIP’s policies recognise the new openness in our world and the positive benefits controlled immigration has brought and can continue to bring to our nation.",NA,"601",NA
"Only UKIP’s policies have, at their heart, sustainability, ethics and fairness.",NA,"305",NA
"It is only by pursuing these policies and introducing an Australian-style points based system, that we can all be  confident immigration will benefit Britain.",NA,"601",NA
"THE NHS",NA,NA,NA
"“UKIP has a clear vision for 21st century healthcare: an efficient, affordable, world-class, national health service, free at the point of delivery and in time of need. The people of Britain are rightly proud of the NHS and we will invest £12 billion over the next five years to keep it working for them.”",NA,NA,NA
"Britain’s best-loved institution is in crisis. The founding of the NHS in 1948 was a victory for the people but, sixty years on, it is the NHS itself that needs emergency care and nursing back to health.",NA,NA,NA
"Our ageing population;",NA,"504",NA
"the dramatic increase in the numbers of people suffering chronic, long-term conditions;",NA,"504",NA
"uncontrolled immigration, encouraged by Labour and continued under the Tories:",NA,"406",NA
"any one of these pressures might have been enough to bring the NHS close to breaking point.",NA,"504",NA
"Combine these with EU directives that have prevented essential training and endless political interference",NA,"110",NA
"and it is not difficult to understand why the NHS is in serious trouble.",NA,"504",NA
"Both Labour and the Tories have utterly failed our NHS by treating it as a political football instead of a cherished institution.",NA,"504",NA
"Patients are suffering because of poor policy, made all too often purely for reasons of political expediency.",NA,"504",NA
"A GP appointment can no longer be guaranteed within any reasonable time frame.",NA,"504",NA
"Coalition cuts to social care budgets are forcing elderly people to stay in hospital for longer than they should because there is no after-care available for them.",NA,"504",NA
"Top-down targets forced on Accident and Emergency departments are not realistic; even some of the best hospitals cannot cope.",NA,"504",NA
"Despite a chronic shortage of doctors, nurses and midwives",NA,"504",NA
"David Cameron’s government wasted billions on a top-down reorganisation he promised would not happen.",NA,"504",NA
"Labour, which squandered money on financing capital projects at credit card rates through private finance initiatives and giving service contracts worth billions of pounds to private companies when they were in power, are now promising to repeal the Health and Social Care Act, meaning yet more billions will be wasted re-organising the NHS all over again.",NA,"504",NA
"Both parties administered a disastrous £12 billion NHS IT project which ultimately failed.",NA,"504",NA
"UKIP will take better care of taxpayers’ money.",NA,"504",NA
"We will put an additional £3 billion a year into the NHS in England by the end of the parliament and make sure the money is spent on frontline patient care.",NA,"504",NA
"We will provide the common sense, the money, the staff, the social care funding and the vital improvements to emergency medicine that the NHS needs.",NA,"504",NA
"We will fund: 8,000 MORE GPs",NA,"504",NA
"We will train and employ GPs to meet this current shortfall",NA,"504",NA
"and waive university tuition fees for new medical students who work in Britain for  five years after qualifying.",NA,"504",NA
"To encourage those who have left the profession to get back into the surgery, we will fund the cost of re-training for GPs who wish to return to practice.",NA,"504",NA
"To cut GP waiting times and allow GPs to spend more time actually seeing patients, UKIP will reduce the burden of data collection, target chasing, revalidation and appraisal work that interferes with the care GPs can give to patients.",NA,"504",NA
"20,000 MORE NURSES",NA,"504",NA
"AND  3,000 MORE MIDWIVES",NA,"504",NA
"Not only will UKIP find the training of nurses and midwives, we will also fund return to practice training for those who have taken career breaks.",NA,"504",NA
"Because we believe nursing starts and ends on the ward, we will bring back the State Enrolled Nurse, and put care and compassion back at the heart of nursing.",NA,"504",NA
"EMERGENCY MEDICINE",NA,NA,NA
"There is a shortage of emergency medicine consultants in our Accident and Emergency departments, just 1200 when the profession needs closer to 2000.",NA,"504",NA
"The problem stems not so much from a deficiency in training capacity, but from poor retention once registrars or consultants have qualified.",NA,"504",NA
"500 UK-trained emergency medicine consultants are currently working in Australia, New Zealand and Canada alone, which illustrates the attrition rate.",NA,"504",NA
"Bodies representing this field of medicine believe the solution lies in improving working conditions, such as the extent of weekend cover, unsocial hours, extended shifts and leave patterns.",NA,"504",NA
"Funding the additional consultants is not in itself a problem, as the cost of locums to cover the current shortage far exceeds that of increasing employed staff and this is what we will do.",NA,"504",NA
"GPs FOR A&Es",NA,NA,NA
"Patients who cannot get a GP appointment frequently turn up in A&E instead, putting additional pressure on already over-stretched resources.",NA,"504",NA
"We will initiate pilot programmes in English hospitals to put GPs on duty in A&E departments seven days a week.",NA,"504",NA
"If these pilots succeed in easing the burden on A&E staff by freeing them up to treat seriously ill patients more successfully, we will roll the programme out across the country, deploying approximately 1,000 of the 8,000 additional GPs we are committed to funding.",NA,"504",NA
"IMPROVED MENTAL HEALTH SERVICES",NA,NA,NA
"Patients with mental health problems frequently feel ignored and let down.",NA,"504",NA
"UKIP takes a ‘whole  person’ approach to health and that means giving mental health parity with physical health.",NA,"504",NA
"We will introduce practical policies to improve delivery of mental health services, including:",NA,"504",NA
"Directing patients diagnosed with a debilitating long-term condition or terminal illnesses to mental health professionals when appropriate",NA,"504",NA
"Recognising there is often a link between addiction and mental illness and offering appropriate treatment where this is the case",NA,"504",NA
"Offering direct access to specialist mental health treatment for pregnant women and mothers of children under 12 months of age",NA,"504",NA
"Fighting the stigma around mental illness",NA,"504",NA
"and supporting those seeking to get back into work.",NA,"504",NA
"Patients experiencing distress or exhibiting mental ill-health issues when admitted to hospital should have both their physical health and mental wellbeing assessed.",NA,"504",NA
"This must not just be an optional extra: we will end the postcode lottery for psychiatric liaison services in acute hospitals and A&E departments.",NA,"504",NA
"To fund these initiatives, we will increase mental health funding by £170 million annually, phasing this in through the first two years of the next parliament.",NA,"504",NA
"DEMENTIA TREATMENT AND RESEARCH",NA,NA,NA
"This debilitating and distressing condition is the leading cause of death among women over the age of 55 and the fifth biggest killer of men.",NA,"504",NA
"We will be investing a full extra £130 million a year into researching and treating dementia by 2017.",NA,"504",NA
"UKIP will put the ‘national’ back into our national health service",NA,"504",NA
"We need to get tough on so-called ‘health-tourism.’",NA,"505",NA
"Every year the NHS spends up to  £2 billion of UK taxpayers’ money treating those ineligible for free care.",NA,"505",NA
"This bill includes foreign nationals who come to Britain to deliberately seek NHS services at no cost to themselves;",NA,"505",NA
"those who live here but who do not qualify for free care;",NA,"505",NA
"treatment for illegal immigrants and those who overstay their visas.",NA,"505",NA
